Date,"Close Price"
"2016-10-31 21:25:00",10.98
"2016-11-07 21:25:00",10.91
"2016-11-14 21:25:00",10.01
"2016-11-21 21:25:00",9.63
"2016-11-28 21:25:00",8.71
"2016-12-05 21:25:00",6.86
"2016-12-12 21:25:00",8.54
"2016-12-19 21:25:00",7.67
"2016-12-26 21:25:00",7.25
"2017-01-02 21:25:00",8.4
"2017-01-09 21:25:00",10.46
"2017-01-16 21:25:00",9.56
"2017-01-23 21:25:00",10.78
"2017-01-30 21:25:00",10.61
"2017-02-06 21:25:00",11.32
"2017-02-13 21:25:00",11.25
"2017-02-20 21:25:00",12.81
"2017-02-27 21:25:00",15.12
"2017-03-06 21:25:00",19.72
"2017-03-13 21:25:00",28.62
"2017-03-20 21:25:00",43.34
"2017-03-27 21:25:00",50
"2017-04-03 21:25:00",45.1
"2017-04-10 21:25:00",43.91
"2017-04-17 21:25:00",49.85
"2017-04-24 21:25:00",53.56
"2017-05-01 21:25:00",79.25
"2017-05-08 21:25:00",90.58
"2017-05-13 19:15:00",88.01
"2017-05-17 07:15:00",88.41
"2017-05-20 19:15:00",126.91
"2017-05-24 07:15:00",181.32
"2017-05-27 19:29:24",159.47
"2017-05-31 07:29:25",224.09
"2017-06-03 19:29:23",221.75
"2017-06-07 07:29:25",260.91
"2017-06-10 19:49:26",318.59
"2017-06-14 07:49:25",390.43
"2017-06-17 19:49:26",375.25
"2017-06-21 07:49:29",348.77
"2017-06-26 08:35:00",253.48
"2017-07-03 08:35:00",269.4
"2017-07-10 08:35:00",234.57
"2017-07-17 08:35:00",177.29
"2017-07-20 22:00:00",227.75
"2017-07-24 10:00:00",226.79
"2017-07-27 22:15:00",200.05
"2017-07-31 10:39:25",196.83
"2017-08-03 22:50:12",225.41
"2017-08-07 10:55:00",265.37
"2017-08-11 10:14:10",301.29
"2017-08-14 22:35:00",296.58
"2017-08-19 06:05:00",300.26
"2017-08-22 20:40:03",322.38
"2017-08-26 14:45:02",332.22
"2017-08-30 10:35:04",367.26
"2017-09-03 04:25:02",356.03
"2017-09-07 09:15:01",326.67
"2017-09-14 09:15:02",269.47
"2017-09-21 09:45:02",281.32
"2017-09-28 09:45:02",307.98
"2017-10-05 10:20:02",292.05
"2017-10-12 10:30:03",308.09
"2017-10-19 11:30:02",308.25
"2017-10-26 11:30:02",299.96

